City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Hilo,US,2022-04-14 15:13:11,19.7297,-155.09,70.29,89,100,8.05
67,La Concordia,NI,2022-04-14 15:13:12,13.1953,-86.1667,77.77,50,72,7.34
68,Gizo,SB,2022-04-14 15:13:12,-8.103,156.8419,82.38,74,69,4.97
69,Yar-Sale,RU,2022-04-14 15:13:12,66.8333,70.8333,34.05,100,100,8.84
70,Babstovo,RU,2022-04-14 15:13:13,48.1167,132.4833,31.64,60,4,3.4
71,Sorland,NO,2022-04-14 15:13:13,67.667,12.6934,39.16,67,37,7.36
72,Busselton,AU,2022-04-14 15:13:14,-33.65,115.3333,58.73,71,0,8.25
73,Chimbote,PE,2022-04-14 15:13:14,-9.0853,-78.5783,69.66,76,94,9.37
74,Alofi,NU,2022-04-14 15:13:15,-19.0595,-169.9187,80.8,75,17,6.13
75,Nanakuli,US,2022-04-14 15:13:15,21.3906,-158.1547,73.45,68,0,6.91
76,Requena,ES,2022-04-14 15:13:16,39.4883,-1.1004,59.52,39,33,15.82
77,Ostrovnoy,RU,2022-04-14 15:13:16,68.0531,39.5131,27.21,85,100,6.24
78,Taltal,CL,2022-04-14 15:13:17,-25.4,-70.4833,64.99,70,16,4.63
79,Galesong,ID,2022-04-14 15:13:17,-5.3166,119.3661,78.82,78,89,4.5
80,Whitehorse,CA,2022-04-14 15:13:18,60.7161,-135.0538,15.28,87,44,2.71
81,Araouane,ML,2022-04-14 15:13:18,18.9048,-3.5265,100.94,6,6,14.0
82,New Norfolk,AU,2022-04-14 15:13:18,-42.7826,147.0587,60.3,66,78,2.75
83,Grand-Santi,GF,2022-04-14 15:13:19,4.25,-54.3833,81.0,84,96,4.68
84,Dikson,RU,2022-04-14 15:13:19,73.5069,80.5464,23.7,91,100,6.71
85,Utete,TZ,2022-04-14 15:13:20,-7.986,38.758,74.88,98,100,2.55
86,Qaanaaq,GL,2022-04-14 15:13:20,77.484,-69.3632,-3.48,95,99,4.43
87,Vanderhoof,CA,2022-04-14 15:10:11,54.0166,-124.0198,18.7,59,89,5.08
88,Avarua,CK,2022-04-14 15:13:21,-21.2078,-159.775,75.25,100,20,2.3
89,Bredasdorp,ZA,2022-04-14 15:13:21,-34.5322,20.0403,60.3,65,100,7.76
90,Cauquenes,CL,2022-04-14 15:14:21,-35.9671,-72.3225,69.42,28,0,2.59
91,Esperance,AU,2022-04-14 15:14:22,-33.8667,121.9,62.19,69,96,7.31
92,Saint George,US,2022-04-14 15:12:54,37.1041,-113.5841,43.39,16,0,0.0
93,Lexington,US,2022-04-14 15:12:33,37.9887,-84.4777,50.0,58,0,5.75
94,Sosnovka,RU,2022-04-14 15:14:22,56.255,51.2842,42.91,95,86,8.1
95,Cabo San Lucas,MX,2022-04-14 15:14:23,22.8909,-109.9124,72.7,62,40,0.0
96,Zhongshu,CN,2022-04-14 15:14:23,24.5167,103.7667,65.16,55,18,4.63
97,Mazatlan,MX,2022-04-14 15:10:33,23.2167,-106.4167,71.56,74,75,0.0
98,Sakakah,SA,2022-04-14 15:14:24,29.9697,40.2064,81.18,15,2,19.3
99,Puerto Escondido,MX,2022-04-14 15:14:24,15.85,-97.0667,84.49,63,19,4.68
100,Padang,ID,2022-04-14 15:14:24,-0.9492,100.3543,79.14,86,99,1.9
101,Naryan-Mar,RU,2022-04-14 15:14:25,67.6713,53.087,25.84,93,100,24.58
102,Channel-Port Aux Basques,CA,2022-04-14 15:14:25,47.5702,-59.1367,38.43,70,6,8.19
103,Luderitz,NA,2022-04-14 15:14:26,-26.6481,15.1594,66.56,69,34,24.61
104,Qui Nhon,VN,2022-04-14 15:14:26,13.7667,109.2333,77.47,90,85,2.73
105,Monrovia,LR,2022-04-14 15:09:34,6.3005,-10.7969,83.7,74,26,10.16
106,Kapaa,US,2022-04-14 15:14:27,22.0752,-159.319,73.47,85,100,4.0
107,Revuca,SK,2022-04-14 15:14:27,48.6835,20.1173,72.57,50,48,5.64
108,Barrow,US,2022-04-14 15:14:28,71.2906,-156.7887,-7.58,77,0,12.66
109,Macklin,CA,2022-04-14 15:12:20,52.3334,-109.9348,19.49,74,100,13.33
110,Kavieng,PG,2022-04-14 15:14:28,-2.5744,150.7967,82.76,76,14,13.4
111,Paracuru,BR,2022-04-14 15:14:28,-3.41,-39.0306,84.11,68,83,5.68
112,Warrnambool,AU,2022-04-14 15:14:29,-38.3833,142.4833,59.81,57,100,6.58
113,Hirara,JP,2022-04-14 15:14:29,24.8,125.2833,72.19,76,100,19.69
114,Pacific Grove,US,2022-04-14 15:10:33,36.6177,-121.9166,53.1,72,88,3.0
115,Raubling,DE,2022-04-14 15:14:30,47.7905,12.1109,69.24,66,100,5.7
116,Sao Joao Da Barra,BR,2022-04-14 15:14:30,-21.6403,-41.0511,86.09,67,13,7.36
117,Saldanha,ZA,2022-04-14 15:14:30,-33.0117,17.9442,61.45,71,100,21.85
118,Hambantota,LK,2022-04-14 15:14:31,6.1241,81.1185,82.27,79,10,10.71
119,Praia Da Vitoria,PT,2022-04-14 15:14:31,38.7333,-27.0667,64.76,77,18,18.66
120,Teeli,RU,2022-04-14 15:14:31,51.0333,90.2333,32.36,32,0,2.46
121,Kaitangata,NZ,2022-04-14 15:14:32,-46.2817,169.8464,50.5,87,92,7.05
122,Bluff,NZ,2022-04-14 15:14:32,-46.6,168.3333,54.81,79,94,18.03
123,Quatis,BR,2022-04-14 15:14:33,-22.4072,-44.2581,78.03,81,62,2.95
124,Olafsvik,IS,2022-04-14 15:14:33,64.8945,-23.7142,43.86,95,100,18.19
125,Chumikan,RU,2022-04-14 15:14:33,54.7183,135.315,24.26,74,12,13.53
126,Poum,NC,2022-04-14 15:14:34,-20.2333,164.0167,75.69,86,76,5.59
127,Dingle,PH,2022-04-14 15:10:33,10.9995,122.6711,76.42,89,95,2.86
128,Alanya,TR,2022-04-14 15:14:34,36.5438,31.9998,64.53,49,0,5.39
129,Port Elizabeth,ZA,2022-04-14 15:11:10,-33.918,25.5701,68.09,93,75,19.57
130,Seoul,KR,2022-04-14 15:10:44,37.5683,126.9778,53.04,58,100,2.3
131,Hamilton,US,2022-04-14 15:13:13,39.1834,-84.5333,52.61,57,0,8.05
132,Thompson,CA,2022-04-14 15:14:35,55.7435,-97.8558,7.54,85,100,14.5
133,Zhanaozen,KZ,2022-04-14 15:14:35,43.3,52.8,61.27,36,42,11.68
134,Chantada,ES,2022-04-14 15:14:36,42.6088,-7.7712,69.69,47,100,2.66
135,Kigorobya,UG,2022-04-14 15:14:36,1.6162,31.3089,81.0,53,94,4.25
136,La Ronge,CA,2022-04-14 15:15:36,55.1001,-105.2842,12.45,48,100,11.5
137,Aksarka,RU,2022-04-14 15:15:37,66.5606,67.7975,33.89,99,100,9.08
138,Bamberg,DE,2022-04-14 15:15:37,49.8795,10.8863,71.71,59,94,6.51
139,Kutum,SD,2022-04-14 15:15:38,14.2,24.6667,91.62,6,21,10.78
140,Dakoro,NE,2022-04-14 15:15:38,14.5106,6.765,103.37,16,100,8.25
141,Sur,OM,2022-04-14 15:15:38,22.5667,59.5289,91.24,34,100,10.83
142,Port Macquarie,AU,2022-04-14 15:15:39,-31.4333,152.9167,58.89,71,82,6.38
143,Te Anau,NZ,2022-04-14 15:15:39,-45.4167,167.7167,47.35,90,98,0.51
144,Kruisfontein,ZA,2022-04-14 15:15:39,-34.0033,24.7314,65.88,87,100,11.32
145,Chokurdakh,RU,2022-04-14 15:15:40,70.6333,147.9167,-12.8,100,87,6.31
146,Faanui,PF,2022-04-14 15:15:40,-16.4833,-151.75,81.66,73,29,15.86
147,Coquimbo,CL,2022-04-14 15:15:40,-29.9533,-71.3436,55.13,94,100,2.3
148,Avera,US,2022-04-14 15:15:41,33.194,-82.5271,73.54,71,100,10.96
149,Broken Hill,AU,2022-04-14 15:15:41,-31.95,141.4333,68.38,37,98,7.07
150,Tra Vinh,VN,2022-04-14 15:15:42,9.9347,106.3453,82.4,79,39,6.85
151,Sarangani,PH,2022-04-14 15:15:42,5.4033,125.4636,82.31,78,100,15.23
152,Ahipara,NZ,2022-04-14 15:15:42,-35.1667,173.1667,55.22,80,0,3.89
153,Kidal,ML,2022-04-14 15:15:43,18.4411,1.4078,103.66,6,41,18.63
154,Hithadhoo,MV,2022-04-14 15:15:43,-0.6,73.0833,84.04,72,100,9.08
155,Asfi,MA,2022-04-14 15:15:43,32.2994,-9.2372,67.28,65,0,27.13
156,Bambous Virieux,MU,2022-04-14 15:15:44,-20.3428,57.7575,80.22,73,75,17.27
157,Presidente Medici,BR,2022-04-14 15:11:16,-11.1753,-61.9014,83.23,80,88,6.76
158,Talara,PE,2022-04-14 15:15:44,-4.5772,-81.2719,75.96,64,0,23.02
159,Karlovo,BG,2022-04-14 15:15:45,42.6333,24.8,63.81,47,3,2.71
160,Oksfjord,NO,2022-04-14 15:15:45,70.2396,22.3479,36.0,80,99,6.85
161,Kodiak,US,2022-04-14 15:15:45,57.79,-152.4072,26.11,80,0,8.05
162,Boende,CD,2022-04-14 15:15:46,-0.2167,20.8667,71.26,99,100,3.62
163,Vestmannaeyjar,IS,2022-04-14 15:15:46,63.4427,-20.2734,47.39,100,100,28.77
164,Kalmunai,LK,2022-04-14 15:15:46,7.4167,81.8167,81.84,82,81,11.43
165,Tarnogskiy Gorodok,RU,2022-04-14 15:15:47,60.4997,43.5761,37.96,81,100,3.8
166,Henties Bay,NA,2022-04-14 15:15:47,-22.116,14.2845,62.89,79,56,11.52
167,Pevek,RU,2022-04-14 15:15:48,69.7008,170.3133,6.21,92,100,2.28
168,Ribeira Grande,PT,2022-04-14 15:15:48,38.5167,-28.7,63.0,77,20,20.71
169,Lakselv,NO,2022-04-14 15:15:49,70.0513,24.9718,39.02,60,100,6.91
170,Tasiilaq,GL,2022-04-14 15:15:49,65.6145,-37.6368,32.16,98,100,3.62
171,Fuerte Olimpo,PY,2022-04-14 15:15:49,-21.0415,-57.8738,79.09,49,33,10.45
172,Scarborough,GB,2022-04-14 15:13:48,54.2797,-0.4044,63.97,80,100,5.99
173,Mananara,MG,2022-04-14 15:15:50,-16.1667,49.7667,76.96,87,10,6.29
174,Yumen,CN,2022-04-14 15:15:50,40.2833,97.2,50.79,8,1,8.7
175,Mataram,ID,2022-04-14 15:15:51,-8.5833,116.1167,81.41,84,43,5.3
176,Humberto De Campos,BR,2022-04-14 15:15:51,-2.5983,-43.4611,87.93,62,52,7.2
177,Peniche,PT,2022-04-14 15:15:51,39.3558,-9.3811,71.29,79,1,13.73
178,Gwadar,PK,2022-04-14 15:15:52,25.1216,62.3254,81.5,78,87,11.86
179,East London,ZA,2022-04-14 15:14:51,-33.0153,27.9116,71.65,77,100,7.52
180,Airai,TL,2022-04-14 15:16:52,-8.9266,125.4092,61.39,93,98,2.35
181,Beira,MZ,2022-04-14 15:16:53,-19.8436,34.8389,82.49,89,75,104.71
182,Chipinge,ZW,2022-04-14 15:16:30,-20.1883,32.6236,72.72,73,92,6.38
183,Verkhnevilyuysk,RU,2022-04-14 15:16:53,63.4453,120.3167,22.21,96,86,5.48
184,Kununurra,AU,2022-04-14 15:16:54,-15.7667,128.7333,73.38,94,100,6.91
185,Makakilo City,US,2022-04-14 15:16:54,21.3469,-158.0858,72.19,71,0,6.91
186,Cherskiy,RU,2022-04-14 15:16:54,68.75,161.3,14.7,96,100,4.07
187,Upernavik,GL,2022-04-14 15:16:55,72.7868,-56.1549,-7.71,96,96,9.33
188,Nalobikha,RU,2022-04-14 15:16:55,53.2006,84.6039,41.14,63,0,10.85
189,Lompoc,US,2022-04-14 15:14:11,34.6391,-120.4579,52.59,81,0,15.99
190,Xique-Xique,BR,2022-04-14 15:16:56,-10.8218,-42.7263,82.11,53,100,3.09
191,Haines Junction,CA,2022-04-14 15:16:56,60.7522,-137.5108,3.15,72,63,1.14
192,Kahului,US,2022-04-14 15:16:56,20.8947,-156.47,73.85,74,20,7.0
193,Aklavik,CA,2022-04-14 15:16:57,68.2191,-135.0107,-11.2,77,20,2.3
194,Itarema,BR,2022-04-14 15:16:57,-2.9248,-39.9167,84.72,68,96,7.16
195,Kaspiysk,RU,2022-04-14 15:16:57,42.8816,47.6392,48.38,87,67,13.42
196,Fallon,US,2022-04-14 15:16:58,39.4735,-118.7774,48.07,40,40,5.75
197,Tongliao,CN,2022-04-14 15:13:30,43.6125,122.2653,43.68,28,17,4.97
198,Okha,RU,2022-04-14 15:14:50,53.5739,142.9478,19.92,95,49,7.74
199,Bilma,NE,2022-04-14 15:16:58,18.6853,12.9164,105.51,4,41,11.83
200,Ucluelet,CA,2022-04-14 15:16:59,48.9329,-125.5528,32.31,70,88,4.0
201,Comodoro Rivadavia,AR,2022-04-14 15:16:59,-45.8667,-67.5,69.66,43,0,13.8
202,Broome,US,2022-04-14 15:17:00,42.2506,-75.833,74.17,50,0,12.66
203,Oranjemund,NA,2022-04-14 15:17:00,-28.55,16.4333,62.35,83,22,18.32
204,Ponta Do Sol,PT,2022-04-14 15:17:00,32.6667,-17.1,72.72,70,0,2.26
205,San Andres,CO,2022-04-14 15:14:44,12.5847,-81.7006,84.22,74,75,16.11
206,Nuuk,GL,2022-04-14 15:17:01,64.1835,-51.7216,25.41,63,40,9.22
207,Yongchang,CN,2022-04-14 15:17:01,30.0381,119.7317,57.58,90,100,5.37
208,Sydney,AU,2022-04-14 15:16:54,-33.8679,151.2073,62.38,90,20,6.91
209,Dalgopol,BG,2022-04-14 15:17:02,43.05,27.35,66.58,46,20,4.61
210,Hofn,IS,2022-04-14 15:17:02,64.2539,-15.2082,46.42,93,100,24.16
211,Udachnyy,RU,2022-04-14 15:17:03,66.4167,112.4,15.76,93,95,17.72
212,Sanchor,IN,2022-04-14 15:17:03,24.7553,71.7722,86.49,27,0,10.76
213,Mangan,IN,2022-04-14 15:17:04,27.5167,88.5333,68.0,78,58,6.38
214,Mildura,AU,2022-04-14 15:15:33,-34.2,142.15,66.16,42,100,0.0
215,Chimoio,MZ,2022-04-14 15:17:04,-19.1164,33.4833,74.68,88,52,4.36
216,Sabang,ID,2022-04-14 15:17:05,5.8933,95.3214,84.94,70,71,8.77
217,Kysyl-Syr,RU,2022-04-14 15:17:05,63.8986,122.7617,25.47,96,100,6.89
218,Mehamn,NO,2022-04-14 15:17:06,71.0357,27.8492,34.66,86,91,19.82
219,Rocha,UY,2022-04-14 15:17:06,-34.4833,-54.3333,66.81,42,2,14.41
220,Ust-Tsilma,RU,2022-04-14 15:17:07,65.441,52.1498,29.46,79,99,10.83
221,Port Shepstone,ZA,2022-04-14 15:17:07,-30.7414,30.455,74.12,82,6,4.07
222,Bundaberg,AU,2022-04-14 15:17:04,-24.85,152.35,64.69,86,0,9.22
223,Pervomayskaya,RU,2022-04-14 15:17:08,43.4033,45.5261,53.4,76,0,8.95
224,Cajati,BR,2022-04-14 15:17:08,-24.7361,-48.1228,70.11,99,100,1.92
225,Kirakira,SB,2022-04-14 15:17:09,-10.4544,161.9205,80.26,83,42,7.56
226,Guaraniacu,BR,2022-04-14 15:17:09,-25.1008,-52.8781,63.32,79,97,7.54
227,Byron Bay,AU,2022-04-14 15:15:55,-28.65,153.6167,62.94,81,88,12.8
228,Wajir,KE,2022-04-14 15:18:10,1.7471,40.0573,91.18,42,85,11.07
229,Bethel,US,2022-04-14 15:18:10,41.3712,-73.414,78.35,63,0,9.22
230,Atar,MR,2022-04-14 15:18:11,20.5169,-13.0499,93.81,11,0,9.35
231,Kieta,PG,2022-04-14 15:18:11,-6.2167,155.6333,78.42,82,100,2.33
232,Northam,GB,2022-04-14 15:18:12,51.0333,-4.2167,62.26,71,100,4.72
233,Santa Maria,BR,2022-04-14 15:18:12,-29.6842,-53.8069,64.58,52,0,6.53
234,Houma,US,2022-04-14 15:18:12,29.5958,-90.7195,71.6,84,75,14.97
235,Yambio,SS,2022-04-14 15:18:13,4.5721,28.3955,70.68,91,100,2.37
236,Mudanya,TR,2022-04-14 15:18:13,40.3753,28.8822,57.7,51,3,7.94
237,Port Hedland,AU,2022-04-14 15:18:14,-20.3167,118.5667,84.25,51,62,6.91
238,Ilulissat,GL,2022-04-14 15:18:14,69.2167,-51.1,15.82,67,75,19.57
239,San Patricio,US,2022-04-14 15:18:15,28.017,-97.5169,75.09,51,4,21.36
240,Nisia Floresta,BR,2022-04-14 15:13:50,-6.0911,-35.2086,90.41,55,94,7.81
241,San Rafael,AR,2022-04-14 15:15:52,-34.6177,-68.3301,66.38,25,0,6.93
242,Port-Gentil,GA,2022-04-14 15:18:15,-0.7193,8.7815,82.33,74,69,9.42
243,Bud,US,2022-04-14 15:18:16,39.447,-86.1758,49.41,66,1,10.49
244,Klaksvik,FO,2022-04-14 15:14:54,62.2266,-6.589,47.32,87,100,25.61
245,Changji,CN,2022-04-14 15:18:17,44.0167,87.3167,54.39,10,0,8.95
246,Bako,ET,2022-04-14 15:18:17,5.7833,36.5667,78.22,45,98,3.33
247,Coahuayana,MX,2022-04-14 15:18:17,18.7333,-103.6833,80.62,51,100,0.47
248,Brive-La-Gaillarde,FR,2022-04-14 15:18:18,45.25,1.5,71.28,39,15,3.38
249,Husavik,IS,2022-04-14 15:18:18,66.0449,-17.3389,43.79,88,100,12.33
250,Tolaga Bay,NZ,2022-04-14 15:18:19,-38.3667,178.3,49.73,88,1,5.28
251,Tapes,BR,2022-04-14 15:18:19,-30.6733,-51.3958,66.07,52,0,12.75
252,Valenca Do Piaui,BR,2022-04-14 15:13:53,-6.4075,-41.7456,85.89,64,21,1.5
253,Sisophon,KH,2022-04-14 15:18:20,13.5859,102.9737,84.61,63,74,4.74
254,Fairbanks,US,2022-04-14 15:18:21,64.8378,-147.7164,32.81,69,0,3.44
255,Areosa,PT,2022-04-14 15:18:21,41.7178,-8.8571,62.92,66,8,10.58
256,Fenoarivo Atsinanana,MG,2022-04-14 15:18:22,-17.3667,49.4167,77.59,88,1,7.31
257,Lolodorf,CM,2022-04-14 15:18:22,3.2333,10.7333,73.56,97,100,1.52
258,Loding,NO,2022-04-14 15:18:22,67.3,14.75,40.91,73,20,5.75
259,Lethbridge,CA,2022-04-14 15:18:23,49.7,-112.8186,16.65,86,100,9.22
260,Parana,AR,2022-04-14 15:18:23,-31.732,-60.5238,71.55,40,0,3.85
261,Narsaq,GL,2022-04-14 15:18:24,60.9167,-46.05,48.42,78,30,5.37
262,Grindavik,IS,2022-04-14 15:18:24,63.8424,-22.4338,49.95,100,100,34.52
263,Tonstad,NO,2022-04-14 15:18:25,58.6626,6.7169,46.69,92,100,1.81
264,Crnomelj,SI,2022-04-14 15:18:25,45.5711,15.1889,73.62,45,48,3.58
265,Nome,US,2022-04-14 15:18:25,64.5011,-165.4064,34.16,93,100,9.22
266,Plopsoru,RO,2022-04-14 15:18:26,44.7833,23.35,65.71,32,0,2.46
267,Sola,VU,2022-04-14 15:18:26,-13.8833,167.55,82.56,73,8,10.04
268,Richards Bay,ZA,2022-04-14 15:18:27,-28.783,32.0377,74.62,74,0,5.93
269,Khatanga,RU,2022-04-14 15:18:27,71.9667,102.5,-14.46,100,48,5.01
270,Carballo,ES,2022-04-14 15:18:28,43.213,-8.691,64.42,78,41,5.48
271,Qaqortoq,GL,2022-04-14 15:18:28,60.7167,-46.0333,34.63,85,42,4.79
272,Brae,GB,2022-04-14 15:19:29,60.3964,-1.353,46.8,65,76,10.09
273,Brigantine,US,2022-04-14 15:16:36,39.4101,-74.3646,79.2,71,0,18.41
274,Beringovskiy,RU,2022-04-14 15:19:29,63.05,179.3167,30.56,98,100,15.7
275,Westport,US,2022-04-14 15:15:48,41.1415,-73.3579,78.4,44,100,4.05
276,Coihaique,CL,2022-04-14 15:19:30,-45.5752,-72.0662,52.41,76,88,4.41
277,Yerbogachen,RU,2022-04-14 15:19:30,61.2767,108.0108,33.89,91,100,15.43
